"filename", "language", "Python", "Ini", "Markdown", "XML", "CSS", "YAML", "comment", "blank", "total"
"d:\project\cae\emx\src\cqgui_env.yml", "YAML", 0, 0, 0, 0, 0, 12, 4, 1, 17
"d:\project\cae\emx\src\debug\OCCViewer.py", "Python", 558, 0, 0, 0, 0, 0, 116, 105, 779
"d:\project\cae\emx\src\doc\dev.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\project\cae\emx\src\icons.qrc", "XML", 0, 0, 0, 119, 0, 0, 0, 0, 119
"d:\project\cae\emx\src\icons\app.svg", "XML", 0, 0, 0, 24, 0, 0, 1, 1, 26
"d:\project\cae\emx\src\icons\app_m.svg", "XML", 0, 0, 0, 385, 0, 0, 1, 2, 388
"d:\project\cae\emx\src\icons\exc_add_load.svg", "XML", 0, 0, 0, 17, 0, 0, 1, 1, 19
"d:\project\cae\emx\src\icons\exc_edge_port.svg", "XML", 0, 0, 0, 19, 0, 0, 1, 1, 21
"d:\project\cae\emx\src\icons\exc_frequency.svg", "XML", 0, 0, 0, 22, 0, 0, 1, 1, 24
"d:\project\cae\emx\src\icons\exc_power.svg", "XML", 0, 0, 0, 34, 0, 0, 1, 1, 36
"d:\project\cae\emx\src\icons\exc_v_source.svg", "XML", 0, 0, 0, 17, 0, 0, 1, 1, 19
"d:\project\cae\emx\src\icons\home_new.svg", "XML", 0, 0, 0, 20, 0, 0, 1, 1, 22
"d:\project\cae\emx\src\icons\home_open.svg", "XML", 0, 0, 0, 104, 0, 0, 1, 2, 107
"d:\project\cae\emx\src\icons\home_run.svg", "XML", 0, 0, 0, 42, 0, 0, 1, 1, 44
"d:\project\cae\emx\src\icons\home_save.svg", "XML", 0, 0, 0, 56, 0, 0, 1, 2, 59
"d:\project\cae\emx\src\icons\home_save_as.svg", "XML", 0, 0, 0, 62, 0, 0, 1, 3, 66
"d:\project\cae\emx\src\icons\home_stop.svg", "XML", 0, 0, 0, 42, 0, 0, 1, 1, 44
"d:\project\cae\emx\src\icons\loading_old0.1.svg", "XML", 0, 0, 0, 2011, 0, 0, 1, 2, 2014
"d:\project\cae\emx\src\icons\mesh_create.svg", "XML", 0, 0, 0, 41, 0, 0, 1, 1, 43
"d:\project\cae\emx\src\icons\mesh_export.svg", "XML", 0, 0, 0, 57, 0, 0, 1, 4, 62
"d:\project\cae\emx\src\icons\mesh_find.svg", "XML", 0, 0, 0, 133, 0, 0, 1, 6, 140
"d:\project\cae\emx\src\icons\mesh_import.svg", "XML", 0, 0, 0, 47, 0, 0, 1, 4, 52
"d:\project\cae\emx\src\icons\mesh_measure.svg", "XML", 0, 0, 0, 42, 0, 0, 1, 2, 45
"d:\project\cae\emx\src\icons\mesh_options.svg", "XML", 0, 0, 0, 91, 0, 0, 1, 1, 93
"d:\project\cae\emx\src\icons\mesh_refine.svg", "XML", 0, 0, 0, 88, 0, 0, 1, 2, 91
"d:\project\cae\emx\src\icons\mesh_root.svg", "XML", 0, 0, 0, 60, 0, 0, 1, 4, 65
"d:\project\cae\emx\src\icons\mesh_transform.svg", "XML", 0, 0, 0, 42, 0, 0, 1, 1, 44
"d:\project\cae\emx\src\icons\model_color.svg", "XML", 0, 0, 0, 68, 0, 0, 1, 2, 71
"d:\project\cae\emx\src\icons\model_cone.svg", "XML", 0, 0, 0, 23, 0, 0, 1, 1, 25
"d:\project\cae\emx\src\icons\model_convert.svg", "XML", 0, 0, 0, 35, 0, 0, 1, 1, 37
"d:\project\cae\emx\src\icons\model_cuboid.svg", "XML", 0, 0, 0, 110, 0, 0, 1, 2, 113
"d:\project\cae\emx\src\icons\model_cylinder.svg", "XML", 0, 0, 0, 29, 0, 0, 1, 1, 31
"d:\project\cae\emx\src\icons\model_export.svg", "XML", 0, 0, 0, 57, 0, 0, 1, 4, 62
"d:\project\cae\emx\src\icons\model_import.svg", "XML", 0, 0, 0, 47, 0, 0, 1, 4, 52
"d:\project\cae\emx\src\icons\model_line.svg", "XML", 0, 0, 0, 16, 0, 0, 1, 1, 18
"d:\project\cae\emx\src\icons\model_pick_body.svg", "XML", 0, 0, 0, 20, 0, 0, 1, 1, 22
"d:\project\cae\emx\src\icons\model_pick_edge.svg", "XML", 0, 0, 0, 28, 0, 0, 1, 1, 30
"d:\project\cae\emx\src\icons\model_pick_face.svg", "XML", 0, 0, 0, 28, 0, 0, 1, 1, 30
"d:\project\cae\emx\src\icons\model_pick_point.svg", "XML", 0, 0, 0, 28, 0, 0, 1, 1, 30
"d:\project\cae\emx\src\icons\model_pline.svg", "XML", 0, 0, 0, 22, 0, 0, 1, 1, 24
"d:\project\cae\emx\src\icons\model_polygon.svg", "XML", 0, 0, 0, 17, 0, 0, 1, 1, 19
"d:\project\cae\emx\src\icons\model_rectangle.svg", "XML", 0, 0, 0, 17, 0, 0, 1, 1, 19
"d:\project\cae\emx\src\icons\model_sphere.svg", "XML", 0, 0, 0, 16, 0, 0, 1, 1, 18
"d:\project\cae\emx\src\icons\post_ani_faster.svg", "XML", 0, 0, 0, 27, 0, 0, 1, 1, 29
"d:\project\cae\emx\src\icons\post_ani_play.svg", "XML", 0, 0, 0, 27, 0, 0, 1, 1, 29
"d:\project\cae\emx\src\icons\post_ani_settings.svg", "XML", 0, 0, 0, 120, 0, 0, 1, 2, 123
"d:\project\cae\emx\src\icons\post_ani_slower.svg", "XML", 0, 0, 0, 28, 0, 0, 1, 1, 30
