 Values of the electric field strength in the far field V
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
   0.1800000000E+003   0.6000000000E+002   0.1007824039E+002   0.6294382095E+002   0.5859196663E+001   0.6146494293E+002   0.4911927795E+002
   0.1800000000E+003   0.9000000000E+002   0.1165686607E+002   0.6257219315E+002   0.1351567805E+000   0.1274595451E+002   0.4911924744E+002
   0.1800000000E+003   0.1200000000E+003   0.1011246777E+002   0.6220186615E+002   0.5799875259E+001   0.6369085312E+002   0.4911923218E+002
   0.1800000000E+003   0.1500000000E+003   0.5859193802E+001   0.6146489334E+002   0.1007823849E+002   0.6294377136E+002   0.4911926651E+002
   0.1800000000E+003   0.1800000000E+003   0.1351549178E+000   0.1274555588E+002   0.1165686893E+002   0.6257210159E+002   0.4911925888E+002
   0.1800000000E+003   0.2100000000E+003   0.5799874306E+001   0.6369089508E+002   0.1011246777E+002   0.6220180511E+002   0.4911923218E+002
   0.1800000000E+003   0.2400000000E+003   0.1007821560E+002   0.6294383621E+002   0.5859194756E+001   0.6146490097E+002   0.4911923218E+002
   0.1800000000E+003   0.2700000000E+003   0.1165686798E+002   0.6257216263E+002   0.1351564825E+000   0.1274563026E+002   0.4911925507E+002
   0.1800000000E+003   0.3000000000E+003   0.1011246109E+002   0.6220179749E+002   0.5799877167E+001   0.6369089127E+002   0.4911922455E+002
   0.1800000000E+003   0.3300000000E+003   0.5859199047E+001   0.6146489334E+002   0.1007822800E+002   0.6294382095E+002   0.4911925888E+002
   0.1800000000E+003   0.3600000000E+003   0.1351577938E+000   0.1274563599E+002   0.1165686512E+002   0.6257219315E+002   0.4911924744E+002
