 Values of the electric field strength in the far field V
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
   0.0000000000E+000   0.2400000000E+003   0.2055842400E+002   0.4712855148E+002   0.1180375290E+002   0.4647787094E+002   0.6331461334E+002
   0.0000000000E+000   0.2700000000E+003   0.2370569420E+002   0.4696660614E+002   0.1295623630E+000   0.6921807861E+002   0.6331460571E+002
   0.0000000000E+000   0.3000000000E+003   0.2050124741E+002   0.4680404282E+002   0.1190283203E+002   0.4745121384E+002   0.6331463242E+002
   0.0000000000E+000   0.3300000000E+003   0.1180375195E+002   0.4647787857E+002   0.2055842400E+002   0.4712855148E+002   0.6331461334E+002
   0.0000000000E+000   0.3600000000E+003   0.1295646131E+000   0.6921936035E+002   0.2370569992E+002   0.4696660995E+002   0.6331460953E+002
   0.4500000000E+002   0.0000000000E+000   0.2117500752E+000   0.1185544109E+002   0.1455192280E+002   0.5727585220E+002   0.5355657959E+002
   0.4500000000E+002   0.3000000000E+002   0.8132419586E+001   0.1776844025E+002   0.1416903400E+002   0.3810298443E+001   0.5586865997E+002
   0.4500000000E+002   0.6000000000E+002   0.6492569923E+001   0.9743430138E+001   0.8021690369E+001   0.4280306244E+002   0.4668154144E+002
   0.4500000000E+002   0.9000000000E+002   0.2232364845E+002   0.6357474136E+002   0.1195724383E+000   0.4220162964E+002   0.6211322021E+002
   0.4500000000E+002   0.1200000000E+003   0.6369913101E+001   0.8315719604E+001   0.8275178909E+001   0.4264665985E+002   0.4691846848E+002
   0.4500000000E+002   0.1500000000E+003   0.8387269974E+001   0.1824213028E+002   0.1437133121E+002   0.2622844458E+001   0.5623589325E+002
   0.4500000000E+002   0.1800000000E+003   0.1201153174E-001   0.7093949890E+002   0.1460579491E+002   0.5878520584E+002   0.5362837219E+002
   0.4500000000E+002   0.2100000000E+003   0.8037196159E+001   0.1784831429E+002   0.1401433563E+002   0.3426229239E+001   0.5564513397E+002
   0.4500000000E+002   0.2400000000E+003   0.6411900997E+001   0.1105993366E+002   0.8124607086E+001   0.4312277603E+002   0.4673965836E+002
   0.4500000000E+002   0.2700000000E+003   0.2271945190E+002   0.6419548035E+002   0.8524991572E-001   0.5410381317E+002   0.6246456909E+002
   0.4500000000E+002   0.3000000000E+003   0.6281207085E+001   0.1144587231E+002   0.8218450546E+001   0.4330527878E+002   0.4672796249E+002
   0.4500000000E+002   0.3300000000E+003   0.8231367111E+001   0.1749793243E+002   0.1420482731E+002   0.3471887589E+001   0.5596689224E+002
   0.4500000000E+002   0.3600000000E+003   0.2117631286E+000   0.1185842991E+002   0.1455194092E+002   0.5727589035E+002   0.5355660248E+002
   0.9000000000E+002   0.0000000000E+000   0.5098470979E-007   0.8876872253E+002   0.2605546570E+002   0.1592087841E+002   0.6520455170E+002
   0.9000000000E+002   0.3000000000E+002   0.2451634600E-005   0.3696586990E+002   0.2699236298E+002   0.1463224792E+002   0.6591107941E+002
   0.9000000000E+002   0.6000000000E+002   0.4507273843E-005   0.3070083618E+002   0.1975281906E+002   0.7252172089E+002   0.5966592407E+002
   0.9000000000E+002   0.9000000000E+002   0.3349674671E-005   0.3454940796E+001   0.9226430207E-001   0.6752239227E+002  -0.4766195679E+002
   0.9000000000E+002   0.1200000000E+003   0.4579384949E-005   0.2996514130E+002   0.1941984749E+002   0.7177927399E+002   0.5932591248E+002
   0.9000000000E+002   0.1500000000E+003   0.2466924116E-005   0.3645866394E+002   0.2701320076E+002   0.1448433018E+002   0.6592651367E+002
   0.9000000000E+002   0.1800000000E+003   0.4103593909E-007   0.4818708420E+002   0.2591097832E+002   0.1611885834E+002   0.6509333801E+002
   0.9000000000E+002   0.2100000000E+003   0.2447124643E-005   0.3680129242E+002   0.2722638512E+002   0.1474438095E+002   0.6608373260E+002
   0.9000000000E+002   0.2400000000E+003   0.4495108442E-005   0.3007310104E+002   0.1968926620E+002   0.7177587128E+002   0.5960147476E+002
   0.9000000000E+002   0.2700000000E+003   0.3331020480E-005   0.2970117092E+001   0.5649138615E-001   0.7964030457E+002  -0.5747333908E+002
   0.9000000000E+002   0.3000000000E+003   0.4562632057E-005   0.2943956566E+002   0.1941021919E+002   0.7133496857E+002   0.5931599426E+002
   0.9000000000E+002   0.3300000000E+003   0.2449698741E-005   0.3617860794E+002   0.2691365242E+002   0.1491391850E+002   0.6585267639E+002
   0.9000000000E+002   0.3600000000E+003   0.5098436162E-007   0.8877182007E+002   0.2605548096E+002   0.1592086601E+002   0.6520455933E+002
   0.1350000000E+003   0.0000000000E+000   0.2117500752E+000   0.1185544109E+002   0.1455192280E+002   0.5727585220E+002   0.5355657959E+002
   0.1350000000E+003   0.3000000000E+002   0.8132419586E+001   0.1776844025E+002   0.1416903400E+002   0.3810298443E+001   0.5586865997E+002
   0.1350000000E+003   0.6000000000E+002   0.6492569923E+001   0.9743430138E+001   0.8021690369E+001   0.4280306244E+002   0.4668154144E+002
   0.1350000000E+003   0.9000000000E+002   0.2232364845E+002   0.6357474136E+002   0.1195724383E+000   0.4220162964E+002   0.6211322021E+002
   0.1350000000E+003   0.1200000000E+003   0.6369913101E+001   0.8315719604E+001   0.8275178909E+001   0.4264665985E+002   0.4691846848E+002
   0.1350000000E+003   0.1500000000E+003   0.8387269974E+001   0.1824213028E+002   0.1437133121E+002   0.2622844458E+001   0.5623589325E+002
