 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
   0.0000000000E+000   0.8600000000E+002   0.2364304161E+002   0.4699522400E+002   0.1600840211E+001   0.4293959427E+002   0.6330711746E+002
   0.0000000000E+000   0.8800000000E+002   0.2368439674E+002   0.4698564148E+002   0.7789927721E+000   0.3864344025E+002   0.6330714417E+002
   0.0000000000E+000   0.9000000000E+002   0.2369686699E+002   0.4697610474E+002   0.1262014508E+000   0.6950460815E+002   0.6330714417E+002
   0.0000000000E+000   0.9200000000E+002   0.2368048286E+002   0.4696643829E+002   0.8904328346E+000   0.5425978470E+002   0.6330715179E+002
   0.0000000000E+000   0.9400000000E+002   0.2363521004E+002   0.4695698547E+002   0.1712860584E+001   0.5074807358E+002   0.6330713272E+002
   0.0000000000E+000   0.9600000000E+002   0.2356117630E+002   0.4694736481E+002   0.2535448313E+001   0.4951552582E+002   0.6330714417E+002
   0.0000000000E+000   0.9800000000E+002   0.2345843124E+002   0.4693767929E+002   0.3355561495E+001   0.4888644409E+002   0.6330714798E+002
   0.0000000000E+000   0.1000000000E+003   0.2332708931E+002   0.4692788696E+002   0.4171830654E+001   0.4850415039E+002   0.6330713654E+002
   0.0000000000E+000   0.1020000000E+003   0.2316735649E+002   0.4691794586E+002   0.4983124256E+001   0.4824662018E+002   0.6330715179E+002
   0.0000000000E+000   0.1040000000E+003   0.2297933388E+002   0.4690794373E+002   0.5788431168E+001   0.4806113052E+002   0.6330710983E+002
   0.0000000000E+000   0.1060000000E+003   0.2276342201E+002   0.4689764786E+002   0.6586735725E+001   0.4792067337E+002   0.6330715942E+002
   0.0000000000E+000   0.1080000000E+003   0.2251973152E+002   0.4688737869E+002   0.7377052784E+001   0.4781040192E+002   0.6330717087E+002
   0.0000000000E+000   0.1100000000E+003   0.2224855995E+002   0.4687647247E+002   0.8158373833E+001   0.4772164536E+002   0.6330714417E+002
   0.0000000000E+000   0.1120000000E+003   0.2195030022E+002   0.4686553574E+002   0.8929790497E+001   0.4764809036E+002   0.6330712891E+002
   0.0000000000E+000   0.1140000000E+003   0.2162534332E+002   0.4685437012E+002   0.9690334320E+001   0.4758624649E+002   0.6330715179E+002
   0.0000000000E+000   0.1160000000E+003   0.2127403641E+002   0.4684270859E+002   0.1043912125E+002   0.4753335953E+002   0.6330718613E+002
   0.0000000000E+000   0.1180000000E+003   0.2089673233E+002   0.4683057404E+002   0.1117512608E+002   0.4748742294E+002   0.6330713272E+002
   0.0000000000E+000   0.1200000000E+003   0.2049403381E+002   0.4681811142E+002   0.1189757156E+002   0.4744729614E+002   0.6330714417E+002
   0.0000000000E+000   0.1220000000E+003   0.2006631088E+002   0.4680523682E+002   0.1260551262E+002   0.4741152573E+002   0.6330710983E+002
   0.0000000000E+000   0.1240000000E+003   0.1961428452E+002   0.4679156876E+002   0.1329813290E+002   0.4737957382E+002   0.6330719376E+002
   0.0000000000E+000   0.1260000000E+003   0.1913820457E+002   0.4677728271E+002   0.1397450161E+002   0.4735076523E+002   0.6330714417E+002
   0.0000000000E+000   0.1280000000E+003   0.1863887215E+002   0.4676224518E+002   0.1463384914E+002   0.4732447433E+002   0.6330713272E+002
   0.0000000000E+000   0.1300000000E+003   0.1811680412E+002   0.4674652863E+002   0.1527540016E+002   0.4730062866E+002   0.6330712128E+002
   0.0000000000E+000   0.1320000000E+003   0.1757277870E+002   0.4672969055E+002   0.1589833641E+002   0.4727858734E+002   0.6330718231E+002
   0.0000000000E+000   0.1340000000E+003   0.1700719833E+002   0.4671163940E+002   0.1650191498E+002   0.4725807953E+002   0.6330715179E+002
   0.0000000000E+000   0.1360000000E+003   0.1642095947E+002   0.4669245529E+002   0.1708537483E+002   0.4723924255E+002   0.6330715179E+002
   0.0000000000E+000   0.1380000000E+003   0.1581471443E+002   0.4667181396E+002   0.1764803505E+002   0.4722140884E+002   0.6330715561E+002
   0.0000000000E+000   0.1400000000E+003   0.1518921471E+002   0.4664959335E+002   0.1818917465E+002   0.4720477676E+002   0.6330715561E+002
   0.0000000000E+000   0.1420000000E+003   0.1454518127E+002   0.4662547684E+002   0.1870814705E+002   0.4718896484E+002   0.6330713272E+002
   0.0000000000E+000   0.1440000000E+003   0.1388346672E+002   0.4659906769E+002   0.1920436859E+002   0.4717420197E+002   0.6330715561E+002
   0.0000000000E+000   0.1460000000E+003   0.1320478344E+002   0.4656968689E+002   0.1967716026E+002   0.4715985870E+002   0.6330713272E+002
   0.0000000000E+000   0.1480000000E+003   0.1251006889E+002   0.4653729248E+002   0.2012596703E+002   0.4714642334E+002   0.6330712128E+002
   0.0000000000E+000   0.1500000000E+003   0.1180010700E+002   0.4650107574E+002   0.2055027390E+002   0.4713352203E+002   0.6330711746E+002
