FREQ = 1.5E10
0.585 0.025 0 17.3090018703114
0.585 0.035 0 15.0682624538039
0.585 0.045 0 13.1256337733999
0.585 0.055 0 12.2199018518304
0.585 0.065 0 12.605544375122
0.595 -0.075 0 13.4473970455486
0.595 -0.065 0 12.339035829901
0.595 -0.055 0 11.9847030810031
0.595 -0.045 0 12.8643938092588
0.595 -0.035 0 14.7119710617614
0.595 -0.025 0 16.8263594830914
0.595 -0.015 0 18.5767096461171
0.595 -0.005 0 19.5508778307266
0.595 0.005 0 19.5508858349416
0.595 0.015 0 18.5767055531971
0.595 0.025 0 16.8263658676122
0.595 0.035 0 14.7119729923868
0.595 0.045 0 12.8643833976849
0.595 0.055 0 11.9847006138518
0.595 0.065 0 12.3390488610822
0.605 -0.075 0 13.158856648245
0.605 -0.065 0 12.0836729485468
0.605 -0.055 0 11.7654070835061
0.605 -0.045 0 12.624209363159
0.605 -0.035 0 14.3776556849136
0.605 -0.025 0 16.3708882482497
0.605 -0.015 0 18.0176424698925
0.605 -0.005 0 18.9331062070641
0.605 0.005 0 18.933102174942
0.605 0.015 0 18.0176546457659
0.605 0.025 0 16.3708933509561
0.605 0.035 0 14.3776516423353
0.605 0.045 0 12.6242108595668
0.605 0.055 0 11.7653880489042
0.605 0.065 0 12.0836455615389
0.615 -0.075 0 12.8726852863051
0.615 -0.065 0 11.8230153860412
0.615 -0.055 0 11.5360984196463
0.615 -0.045 0 12.3699275981257
0.615 -0.035 0 14.040056215936
0.615 -0.025 0 15.9245759707714
0.615 -0.015 0 17.4767995746521
0.615 -0.005 0 18.33901732696
0.615 0.005 0 18.3390207298746
0.615 0.015 0 17.4767923310372
0.615 0.025 0 15.924575495659
0.615 0.035 0 14.0400629525299
0.615 0.045 0 12.3699351178908
0.615 0.055 0 11.5361227557348
0.615 0.065 0 11.8230395241394
