 Values of the electric field strength in V/m 
 (total field,incident and scattered) 
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)           radius(m)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)          Total(V/m)
 "NearField Radiation"           1
  120.0000  120.0000    1.0000    0.3419761658E+02    0.7946556854E+02    0.1957987404E+02    0.6200942612E+02    0.3940741348E+02
  120.0000  150.0000    1.0000    0.1039005661E+02    0.3829349136E+02    0.2193784714E+02    0.7270288086E+02    0.2428936195E+02
  120.0000  180.0000    1.0000    0.1939212322E+01    0.8949673653E+01    0.2631943703E+02    0.8412881470E+02    0.2639118767E+02
  140.0000    0.0000    1.0000    0.2908804417E+01    0.8042086792E+02    0.1777087402E+02    0.6626256561E+02    0.1800739861E+02
  140.0000   30.0000    1.0000    0.8891765594E+01    0.8783354950E+02    0.2849616432E+02    0.8209068298E+02    0.2986722183E+02
  140.0000   60.0000    1.0000    0.1621469688E+02    0.7154740143E+02    0.1668884468E+02    0.7121393585E+02    0.2327223206E+02
  140.0000   90.0000    1.0000    0.1509513855E+02    0.8957164001E+02    0.4803992748E+01    0.3937910843E+02    0.1588724327E+02
  140.0000  120.0000    1.0000    0.1404690552E+02    0.5350376511E+02    0.1637134933E+02    0.8457427979E+02    0.2157645226E+02
  140.0000  150.0000    1.0000    0.6213698387E+01    0.8118426514E+02    0.2687552643E+02    0.8436882782E+02    0.2760214043E+02
  140.0000  180.0000    1.0000    0.1775529265E+01    0.8664922333E+02    0.1475636292E+02    0.6289954758E+02    0.1486328316E+02
  160.0000    0.0000    1.0000    0.5191636562E+01    0.1155628085E+01    0.1842063332E+02    0.7299044800E+02    0.1913885307E+02
  160.0000   30.0000    1.0000    0.8017385483E+01    0.8626562500E+02    0.2537324333E+02    0.7806099701E+02    0.2661012459E+02
  160.0000   60.0000    1.0000    0.1497219086E+02    0.7942938232E+02    0.1620557594E+02    0.8338573456E+02    0.2206715965E+02
  160.0000   90.0000    1.0000    0.1724356651E+02    0.7122135925E+02    0.7470003605E+01    0.4212415218E+01    0.1881124878E+02
  160.0000  120.0000    1.0000    0.1672819901E+02    0.7226904297E+02    0.1427534389E+02    0.8927324677E+02    0.2199277878E+02
  160.0000  150.0000    1.0000    0.9182140350E+01    0.3011275291E+02    0.1968917274E+02    0.7739923859E+02    0.2172698784E+02
  160.0000  180.0000    1.0000    0.2467862606E+01    0.7953517914E+02    0.2947793388E+02    0.6226828766E+02    0.2958134651E+02
  180.0000    0.0000    1.0000    0.4854168415E+01    0.3961663437E+02    0.2224593925E+02    0.6702395630E+02    0.2276942062E+02
  180.0000   30.0000    1.0000    0.1070570564E+02    0.4492379761E+02    0.2009559441E+02    0.7366909027E+02    0.2276942444E+02
  180.0000   60.0000    1.0000    0.1871554947E+02    0.5988648224E+02    0.1296817398E+02    0.8511879730E+02    0.2276943207E+02
  180.0000   90.0000    1.0000    0.2224595070E+02    0.6702398682E+02    0.4854167938E+01    0.3961666107E+02    0.2276943016E+02
  180.0000  120.0000    1.0000    0.2009559631E+02    0.7366907501E+02    0.1070571613E+02    0.4492382050E+02    0.2276943398E+02
  180.0000  150.0000    1.0000    0.1296815681E+02    0.8511875916E+02    0.1871557045E+02    0.5988645554E+02    0.2276943970E+02
  180.0000  180.0000    1.0000    0.4854168892E+01    0.3961656570E+02    0.2224596977E+02    0.6702402496E+02    0.2276945114E+02
 "NearField Radiation"           2
    0.0000    0.0000    1.0000    0.4854169369E+01    0.3961655807E+02    0.2224595833E+02    0.6702399445E+02    0.2276943970E+02
    0.0000   45.0000    1.0000    0.1510957813E+02    0.5445268631E+02    0.1703368187E+02    0.7815590668E+02    0.2276943970E+02
    0.0000   90.0000    1.0000    0.2224595833E+02    0.6702399445E+02    0.4854168892E+01    0.3961654282E+02    0.2276943970E+02
    0.0000  135.0000    1.0000    0.1703368187E+02    0.7815590668E+02    0.1510957813E+02    0.5445268631E+02    0.2276943970E+02
    0.0000  180.0000    1.0000    0.4854168415E+01    0.3961653519E+02    0.2224595833E+02    0.6702399445E+02    0.2276943970E+02
    0.0000  225.0000    1.0000    0.1510957718E+02    0.5445268631E+02    0.1703368187E+02    0.7815589905E+02    0.2276943970E+02
    0.0000  270.0000    1.0000    0.2224595833E+02    0.6702399445E+02    0.4854168892E+01    0.3961655426E+02    0.2276943970E+02
    0.0000  315.0000    1.0000    0.1703368378E+02    0.7815589905E+02    0.1510957527E+02    0.5445268250E+02    0.2276943970E+02
    0.0000  360.0000    1.0000    0.4854167938E+01    0.3961651230E+02    0.2224595833E+02    0.6702399445E+02    0.2276943970E+02
   30.0000    0.0000    1.0000    0.1258432984E+01    0.2046183014E+02    0.3303749466E+02    0.8684714508E+02    0.3306182480E+02
   30.0000   45.0000    1.0000    0.1990017319E+02    0.6217459488E+02    0.8645539284E+01    0.5775465393E+02    0.2169932938E+02
   30.0000   90.0000    1.0000    0.2579278374E+02    0.8602362823E+02    0.1691930294E+01    0.8525714111E+02    0.2587826920E+02
   30.0000  135.0000    1.0000    0.2305856895E+02    0.7771542358E+02    0.1847930908E+02    0.4641759872E+02    0.2955456161E+02
   30.0000  180.0000    1.0000    0.4612138748E+01    0.1041814923E+01    0.3008828926E+02    0.8706076050E+02    0.3043975639E+02
   30.0000  225.0000    1.0000    0.2234738350E+02    0.6472735596E+02    0.2122051048E+02    0.5377156067E+02    0.3081953430E+02
   30.0000  270.0000    1.0000    0.2625060844E+02    0.8264325714E+02    0.5657467365E+01    0.9912874222E+01    0.2687833214E+02
   30.0000  315.0000    1.0000    0.2036933327E+02    0.7957434082E+02    0.1538357544E+02    0.5117742920E+02    0.2553230095E+02
   30.0000  360.0000    1.0000    0.1258442163E+01    0.2046068001E+02    0.3303745651E+02    0.8684714508E+02    0.3306178665E+02
   60.0000    0.0000    1.0000    0.1116751432E+01    0.3988253403E+02    0.2093291092E+02    0.8751483154E+02    0.2096313477E+02
   60.0000   45.0000    1.0000    0.2513098526E+02    0.7162303925E+02    0.1469690228E+02    0.7103083038E+02    0.2912645912E+02
   60.0000   90.0000    1.0000    0.2957212639E+02    0.7764775085E+02    0.2907373905E+01    0.1251226711E+02    0.2974284172E+02
   60.0000  135.0000    1.0000    0.2855381012E+02    0.7372199249E+02    0.2637545967E+02    0.6548006439E+02    0.3888057327E+02
   60.0000  180.0000    1.0000    0.1939224362E+01    0.8949434280E+01    0.2631944084E+02    0.8412877655E+02    0.2639119339E+02
   60.0000  225.0000    1.0000    0.2706632614E+02    0.7050917053E+02    0.2083880234E+02    0.8951772308E+02    0.3417250061E+02
   60.0000  270.0000    1.0000    0.2991728783E+02    0.8325830078E+02    0.3700608730E+01    0.5626523495E+01    0.3016550446E+02
   60.0000  315.0000    1.0000    0.2648359108E+02    0.7371817780E+02    0.1776293182E+02    0.8079853821E+02    0.3189777756E+02
   60.0000  360.0000    1.0000    0.1116746664E+01    0.3988120651E+02    0.2093293381E+02    0.8751482391E+02    0.2096315765E+02
   90.0000    0.0000    1.0000    0.1950749464E-06    0.2359933853E+01    0.2969540024E+02    0.6568595886E+02    0.2969839668E+02
   90.0000   45.0000    1.0000    0.4050556527E-05    0.2084717560E+02    0.2197222519E+02    0.8874743652E+02    0.2197712708E+02
   90.0000   90.0000    1.0000    0.3480985697E-05    0.5525294113E+02    0.1576086521E+01    0.8415186310E+02    0.1688494205E+01
   90.0000  135.0000    1.0000    0.4161109246E-05    0.2503395653E+02    0.2282118034E+02    0.6259658051E+02    0.2282493973E+02
   90.0000  180.0000    1.0000    0.2130230428E-06    0.8375965881E+02    0.2648192787E+02    0.5804716873E+02    0.2648423386E+02
   90.0000  225.0000    1.0000    0.3999678938E-05    0.2282732201E+02    0.3955336094E+01    0.6723725891E+02    0.3971358299E+01
   90.0000  270.0000    1.0000    0.3581535111E-05    0.5456758881E+02    0.3968697071E+01    0.8580135345E+02    0.4018954277E+01
   90.0000  315.0000    1.0000    0.4270460522E-05    0.2517822456E+02    0.1156684971E+02    0.3268943024E+02    0.1157758236E+02
   90.0000  360.0000    1.0000    0.1950756712E-06    0.2360842466E+01    0.2969544983E+02    0.6568596649E+02    0.2969844437E+02
  120.0000    0.0000    1.0000    0.1116748214E+01    0.3988206863E+02    0.2093284607E+02    0.8751493835E+02    0.2096306992E+02
  120.0000   45.0000    1.0000    0.2513099289E+02    0.7162349701E+02    0.1469690895E+02    0.7103122711E+02    0.2912646675E+02
  120.0000   90.0000    1.0000    0.2957211876E+02    0.7764782715E+02    0.2907340765E+01    0.1251216221E+02    0.2974283028E+02
  120.0000  135.0000    1.0000    0.2855376244E+02    0.7372240448E+02    0.2637545776E+02    0.6548053741E+02    0.3888053513E+02
  120.0000  180.0000    1.0000    0.1939212322E+01    0.8949673653E+01    0.2631943703E+02    0.8412881470E+02    0.2639118767E+02
  120.0000  225.0000    1.0000    0.2706634331E+02    0.7050962067E+02    0.2083876991E+02    0.8951826477E+02    0.3417249298E+02
  120.0000  270.0000    1.0000    0.2991725922E+02    0.8325837708E+02    0.3700631857E+01    0.5625736713E+01    0.3016547966E+02
  120.0000  315.0000    1.0000    0.2648356628E+02    0.7371808624E+02    0.1776294708E+02    0.8079849243E+02    0.3189776802E+02
