x	y	z	val
6.000000052	0.0	0.0	60.08069229
70.69999725	-70.69999725	0.0	0.6240202188
-6.000000052	0.0	0.0	59.65165329
-70.69999725	-70.69999725	0.0	0.6236476898
70.69999725	70.69999725	0.0	0.6361075044
-70.69999725	70.69999725	0.0	0.6381107569
8.025110699	-2.2129099819999998	0.0	43.81386948
10.05022041	-4.425819963	0.0	36.10894394
12.06886023	-6.631660275000001	0.0	32.33624268
14.09397088	-8.844570257	0.0	27.20558548
16.112610699999998	-11.05041057	0.0	23.90463638
18.13772134	-13.263320550000001	0.0	23.94768333
20.15636116	-15.469160859999999	0.0	24.32423782
22.181471809999998	-17.68206991	0.0	22.21980667
24.20010976	-19.88791116	0.0	18.92765236
26.22522041	-22.10082114	0.0	18.32048798
28.243862089999997	-24.306660519999998	0.0	19.72141838
30.26897274	-26.5195705	0.0	19.42411232
32.28760883	-28.725411740000002	0.0	16.3812294
34.312721339999996	-30.938321719999998	0.0	14.30170059
36.33136302	-33.14416111	0.0	16.01782036
38.35647181	-35.357072949999996	0.0	17.92108154
40.375113490000004	-37.562910470000006	0.0	16.50355339
42.40022227	-39.77582231	0.0	12.93390179
44.418863949999995	-41.98165983	0.0	12.43981838
46.44397274	-44.19457167	0.0	15.58365345
48.46261069	-46.40041292	0.0	16.57738304
50.4877232	-48.613321039999995	0.0	13.66399288
52.50636116	-50.81916228	0.0	10.48690605
54.53147367	-53.032074120000004	0.0	12.69130707
56.55011162	-55.23791537	0.0	15.86374474
58.57522041	-57.45082349	0.0	14.69736767
60.59386209	-59.656661	0.0	9.451273918
62.61897087	-61.86957285	0.0	8.437366486
64.63761628	-64.07541037	0.0	13.79886055
66.66272133999999	-66.28832221	0.0	17.31253242
68.68135928999999	-68.49416345	0.0	17.33228493
-3.000000026	0.0	0.0	52.41687012
0.0012000001560000001	0.0	0.0	44.77643204
3.001200035	0.0	0.0	52.62291336
-68.67489219000001	-68.48709285	0.0	17.3890152
-66.65625423	-66.28125161	0.0	17.36629295
-64.63114171999999	-64.06833977	0.0	13.87584782
-62.61250377	-61.86250225	0.0	8.516950607
-60.58739498	-59.64959413	0.0	9.708096504
-58.56874958	-57.44375288	0.0	14.89307785
-56.54364452	-55.23084104	0.0	15.91330338
-54.525002840000006	-53.025003520000006	0.0	12.76838875
-52.49989033	-50.8120954	0.0	10.532094
-50.48125237	-48.60625416	0.0	13.84513569
-48.45613986	-46.39334232	0.0	16.79114151
-46.437501909999995	-44.18750107	0.0	15.7918005
-44.41239312	-41.97459295	0.0	12.59699535
-42.39375144	-39.768751710000004	0.0	12.92938137
-40.36864266	-37.55583987	0.0	16.51990128
-38.35000098	-35.34999862	0.0	18.01059341
-36.32489219	-33.1370905	0.0	16.04868507
-34.30625424	-30.93125112	0.0	14.23297691
-32.281141729999995	-28.71834114	0.0	16.2796936
-30.26250191	-26.512501760000003	0.0	19.40172005
-28.237391260000003	-24.29958992	0.0	19.66965103
-26.218751450000003	-22.09375054	0.0	18.25133705
-24.1936408	-19.880840550000002	0.0	18.89525986
-22.17500098	-17.67499931	0.0	22.17669487
-20.1498922	-15.46209026	0.0	24.34568596
-18.13125052	-13.256250880000001	0.0	23.94704247
-16.106141729999997	-11.04333997	0.0	23.48670387
-14.08750005	-8.837499656	0.0	26.33768082
-12.06239127	-6.62459014	0.0	31.16325569
-10.04375052	-4.418749828	0.0	34.85740662
-8.01863987	-2.2058403120000003	0.0	42.65621948
67.688182	-70.69999725	0.0	14.57695007
64.67636675	-70.69999725	0.0	13.43563938
61.664544049999996	-70.69999725	0.0	10.98378944
58.65272507	-70.69999725	0.0	8.246234894
55.65504357	-70.69999725	0.0	3.270684004
52.64322087	-70.69999725	0.0	2.60901165
49.6314019	-70.69999725	0.0	6.083839417
46.61958292	-70.69999725	0.0	7.068603516
43.62190142	-70.69999725	0.0	5.589884281
40.61008245	-70.69999725	0.0	2.720251322
37.598259750000004	-70.69999725	0.0	1.341222644
34.5864445	-70.69999725	0.0	2.892437458
31.588763	-70.69999725	0.0	3.060725927
28.57694216	-70.69999725	0.0	2.296457291
25.56512132	-70.69999725	0.0	2.958345652
22.55330235	-70.69999725	0.0	4.210520744
19.54147965	-70.69999725	0.0	4.208724022
16.54380187	-70.69999725	0.0	2.48141408
