 Values of the electric field strength in V/m 
 (total field,incident and scattered) 
 "Frequency in Hz"  1.1000001E+10
                 x/m                 y/m                 z/m             Abs(Ex)           Phase(Ex)             Abs(Ey)           Phase(Ey)             Abs(Ez)           Phase(Ez)   Abs(E_total/ V/m)
 "NearField"           1
    0.2000    0.0000    0.5000    0.5897638798E+01    0.6701495361E+02    0.3387044144E+02    0.4665914917E+02    0.2445511103E+01    0.7799010468E+02    0.3446693420E+02
    0.2000    0.0000    1.0000    0.3003060102E+01    0.1597887135E+02    0.1514405537E+02    0.9706884384E+01    0.5820379853E+00    0.9322689056E+01    0.1544990540E+02
    0.2000    0.0000    1.5000    0.3679760396E+00    0.8668848419E+02    0.1450201321E+02    0.4615342712E+02    0.8401516080E-01    0.7033348846E+02    0.1450692368E+02
    0.2000    0.0000    2.0000    0.1047376513E+01    0.8986486816E+02    0.1242671299E+02    0.5940425873E+02    0.9683734924E-01    0.7826033020E+02    0.1247114849E+02
    0.2000    0.4000    0.0000    0.3408421326E+02    0.5695235443E+02    0.1369842529E+02    0.6171374130E+02    0.0000000000E+00                 NaN    0.3673391342E+02
    0.2000    0.4000    0.5000    0.4092401505E+01    0.7773786163E+02    0.2560803986E+02    0.5411383820E+02    0.1869508362E+02    0.5415399933E+02    0.3196913528E+02
    0.2000    0.4000    1.0000    0.3269276857E+01    0.6582324982E+02    0.1656873512E+02    0.6583311462E+02    0.5916676521E+01    0.6802573395E+02    0.1789464378E+02
    0.2000    0.4000    1.5000    0.8277638435E+01    0.7445706177E+02    0.1223888683E+02    0.2484612846E+02    0.2690494299E+01    0.6751214981E+01    0.1501826954E+02
    0.2000    0.4000    2.0000    0.3105040312E+01    0.4412425613E+02    0.8313673019E+01    0.5807437134E+02    0.1744352460E+01    0.6888136292E+02    0.9044402122E+01
    0.2000    0.8000    0.0000    0.8793702126E+01    0.6009725571E+02    0.2374698400E+01    0.3254348373E+02    0.0000000000E+00                 NaN    0.9108698845E+01
    0.2000    0.8000    0.5000    0.1701533198E+01    0.4455132675E+02    0.1425409222E+02    0.6264842033E+01    0.2388716316E+02    0.6193319798E+01    0.2786881638E+02
    0.2000    0.8000    1.0000    0.7227879047E+01    0.5810441208E+02    0.1159490108E+02    0.2364950752E+02    0.9025747299E+01    0.3283486938E+02    0.1637522697E+02
    0.2000    0.8000    1.5000    0.5435887814E+01    0.5771911621E+02    0.1207645702E+02    0.3499908066E+02    0.6461390018E+01    0.4124502945E+02    0.1473564529E+02
    0.2000    0.8000    2.0000    0.3744510412E+01    0.7816042328E+02    0.1013883114E+02    0.1490590477E+02    0.3923298836E+01    0.1037695408E+02    0.1149823952E+02
    0.2000    1.2000    0.0000    0.9044482231E+01    0.8375967407E+02    0.1513013601E+01    0.7669960785E+02    0.0000000000E+00                 NaN    0.9170161247E+01
    0.2000    1.2000    0.5000    0.5471345425E+01    0.8732940674E+02    0.6337172031E+01    0.6337412643E+02    0.1755521011E+02    0.6600901794E+02    0.1944944191E+02
